,BIDS Data,BIDS Validated
242,/sub-147737/anat/sub-147737_T1w.nii.gz,True
243,/sub-148032/anat/sub-148032_T1w.nii.gz,True
244,/sub-148133/anat/sub-148133_T1w.nii.gz,True
245,/sub-148335/anat/sub-148335_T1w.nii.gz,True
246,/sub-148436/anat/sub-148436_T1w.nii.gz,True
247,/sub-148840/anat/sub-148840_T1w.nii.gz,True
248,/sub-148941/anat/sub-148941_T1w.nii.gz,True
249,/sub-149236/anat/sub-149236_T1w.nii.gz,True
250,/sub-149337/anat/sub-149337_T1w.nii.gz,True
251,/sub-149539/anat/sub-149539_T1w.nii.gz,True
252,/sub-149741/anat/sub-149741_T1w.nii.gz,True
253,/sub-149842/anat/sub-149842_T1w.nii.gz,True
254,/sub-150019/anat/sub-150019_T1w.nii.gz,True
255,/sub-150423/anat/sub-150423_T1w.nii.gz,True
256,/sub-150524/anat/sub-150524_T1w.nii.gz,True
257,/sub-150625/anat/sub-150625_T1w.nii.gz,True
258,/sub-150726/anat/sub-150726_T1w.nii.gz,True
259,/sub-150928/anat/sub-150928_T1w.nii.gz,True
260,/sub-151021/anat/sub-151021_T1w.nii.gz,True
261,/sub-151223/anat/sub-151223_T1w.nii.gz,True
262,/sub-151324/anat/sub-151324_T1w.nii.gz,True
263,/sub-151425/anat/sub-151425_T1w.nii.gz,True
264,/sub-151526/anat/sub-151526_T1w.nii.gz,True
265,/sub-151627/anat/sub-151627_T1w.nii.gz,True
266,/sub-151728/anat/sub-151728_T1w.nii.gz,True
267,/sub-151829/anat/sub-151829_T1w.nii.gz,True
268,/sub-151930/anat/sub-151930_T1w.nii.gz,True
269,/sub-152225/anat/sub-152225_T1w.nii.gz,True
270,/sub-152427/anat/sub-152427_T1w.nii.gz,True
271,/sub-152831/anat/sub-152831_T1w.nii.gz,True
272,/sub-153025/anat/sub-153025_T1w.nii.gz,True
273,/sub-153126/anat/sub-153126_T1w.nii.gz,True
274,/sub-153227/anat/sub-153227_T1w.nii.gz,True
275,/sub-153429/anat/sub-153429_T1w.nii.gz,True
276,/sub-153631/anat/sub-153631_T1w.nii.gz,True
277,/sub-153732/anat/sub-153732_T1w.nii.gz,True
278,/sub-153833/anat/sub-153833_T1w.nii.gz,True
279,/sub-153934/anat/sub-153934_T1w.nii.gz,True
280,/sub-154229/anat/sub-154229_T1w.nii.gz,True
281,/sub-154330/anat/sub-154330_T1w.nii.gz,True
282,/sub-154431/anat/sub-154431_T1w.nii.gz,True
283,/sub-154532/anat/sub-154532_T1w.nii.gz,True
284,/sub-154734/anat/sub-154734_T1w.nii.gz,True
285,/sub-154835/anat/sub-154835_T1w.nii.gz,True
286,/sub-154936/anat/sub-154936_T1w.nii.gz,True
287,/sub-155231/anat/sub-155231_T1w.nii.gz,True
288,/sub-155635/anat/sub-155635_T1w.nii.gz,True
289,/sub-155938/anat/sub-155938_T1w.nii.gz,True
290,/sub-156031/anat/sub-156031_T1w.nii.gz,True
291,/sub-156233/anat/sub-156233_T1w.nii.gz,True
292,/sub-156334/anat/sub-156334_T1w.nii.gz,True
293,/sub-156435/anat/sub-156435_T1w.nii.gz,True
294,/sub-156536/anat/sub-156536_T1w.nii.gz,True
295,/sub-156637/anat/sub-156637_T1w.nii.gz,True
296,/sub-157336/anat/sub-157336_T1w.nii.gz,True
297,/sub-157437/anat/sub-157437_T1w.nii.gz,True
298,/sub-157942/anat/sub-157942_T1w.nii.gz,True
299,/sub-158035/anat/sub-158035_T1w.nii.gz,True
300,/sub-158136/anat/sub-158136_T1w.nii.gz,True
301,/sub-158338/anat/sub-158338_T1w.nii.gz,True
302,/sub-158540/anat/sub-158540_T1w.nii.gz,True
303,/sub-158843/anat/sub-158843_T1w.nii.gz,True
304,/sub-159138/anat/sub-159138_T1w.nii.gz,True
305,/sub-159239/anat/sub-159239_T1w.nii.gz,True
306,/sub-159340/anat/sub-159340_T1w.nii.gz,True
